CommandLine\Decrypter\Strings\Program.de-DE.resx,ProgramUsage,updated,Usage: Duplicati.CommandLine.Decrypter.exe <passphrase> <inputfile> <outputfile>,Benutzung: Duplicati.CommandLine.Decrypter.exe <Kennwort-Satz> <Eingabedatei> <Ausgabedatei>,Translated 2011-11,21/11/2011,Translated in week 47/2011,by E.Mair,,,,1293
CommandLine\Strings\Program.de-DE.resx,AddedFoldersHeader,updated,Added folders,Hinzugefügte Ordner,Improved 2011-04,08/04/2011,Translated in week 14/2011,by Mathias,,,,507
CommandLine\Strings\Program.de-DE.resx,CollectionStatusHeader,updated,"Found {0} backup chains on backend

Type\tTime\t\t\tVolumes\tSize","{0} Sicherungsreihen auf dem Sicherungs-Ziel gefunden

Typ\tZeit\t\t\tVolumes\tGröße",Translated 2011-04,20/04/2011,Translated in week 16/2011,by E.Mair,,,,508
CommandLine\Strings\Program.de-DE.resx,CollectionStatusLineFull,updated,Full\t{0}\t{1}\t{2},Voll\t{0}\t{1}\t{2},Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,509
CommandLine\Strings\Program.de-DE.resx,CollectionStatusLineInc,equal expression, Inc\t{0}\t{1}\t{2}, Inc\t{0}\t{1}\t{2},Translated 2011-11,21/11/2011,Translated in week 47/2011,by E.Mair,,,,510
CommandLine\Strings\Program.de-DE.resx,ControlFilesHeader,updated,Control files,Steuerdateien,Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,511
CommandLine\Strings\Program.de-DE.resx,DeletedFilesHeader,updated,Deleted files,Gelöschte Dateien,Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,512
CommandLine\Strings\Program.de-DE.resx,DeletedFoldersHeader,updated,Deleted folders,Gelöschte Ordner,Improved 2011-04,08/04/2011,Translated in week 14/2011,by Mathias,,,,513
CommandLine\Strings\Program.de-DE.resx,DuplicatiOptionsHeader,updated,Duplicati options:,Duplicati-Einstellungen:,Improved 2011-04,08/04/2011,Translated in week 14/2011,by Mathias,,,,514
CommandLine\Strings\Program.de-DE.resx,FileEntryNotFound,updated,< not found >,< nicht gefunden >,Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,515
CommandLine\Strings\Program.de-DE.resx,FindLastVersionEntry,equal expression,{0}\t{1},{0}\t{1},Translated 2011-11,21/11/2011,Translated in week 47/2011,by E.Mair,,,,516
CommandLine\Strings\Program.de-DE.resx,FindLastVersionHeader,updated,Backuptime\t\tFilename,Sicherungszeit\t\tDateiname,Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,517
CommandLine\Strings\Program.de-DE.resx,FolderCreatedMessage,updated,The folder {0} was created,"Der Ordner {0} wurde erstellt
",Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,518
CommandLine\Strings\Program.de-DE.resx,GenericModulesHeader,updated,Supported generic modules:,"Unterstützte generische Module:
",Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,519
CommandLine\Strings\Program.de-DE.resx,IntegerParseError,updated,"Unable to parse ""{0}"" into a number","Kann ""{0}"" nicht einer Zahl zuordnen",Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,520
CommandLine\Strings\Program.de-DE.resx,InternalOptionUsedError,updated,"The option --{0} was supplied, but it is reserved for internal use and may not be set on the commandline","Option --{0} wurde angegeben, diese ist jedoch nur für den internen Gebrauch vorgesehen und darf auf der Kommandozeile nicht verwendet werden",Improved 2011-04,08/04/2011,Translated in week 14/2011,by Mathias,,,,521
CommandLine\Strings\Program.de-DE.resx,ModifiedFilesHeader,updated,Modified files,Geänderte Dateien,Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,522
CommandLine\Strings\Program.de-DE.resx,ModuleIsLoadedAutomatically,updated,"Module is loaded automatically, use --disable-module to prevent this","Modul wird automatisch geladen, verwenden Sie --disable-module, um dies zu verhindern",Improved 2011-04,08/04/2011,Translated in week 14/2011,by Mathias,,,,523
CommandLine\Strings\Program.de-DE.resx,ModuleIsNotLoadedAutomatically,updated,"Module is not loaded automatically, use --enable-module to load it","Modul wird nicht automatisch geladen, verwenden Sie --enable-module, um es zu laden",Improved 2011-04,08/04/2011,Translated in week 14/2011,by Mathias,,,,524
CommandLine\Strings\Program.de-DE.resx,NewFilesHeader,updated,New files,Neue Dateien,Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,525
CommandLine\Strings\Program.de-DE.resx,NewOrModifiedFilesHeader,updated,New/Modified files,Neue / geänderte Dateien,Translated 2011-02,21/02/2011,Translated in week 08/2011,by E.Mair,,,,526
CommandLine\Strings\Program.de-DE.resx,ProgramUsageBackend,updated,"A <backend> is identified by an url like ftp://host/ or ssh://server/.
 Using this system, Duplicati can detect if you want to backup or restore.
 The cleanup and delete commands do not delete files, unless the --force option is specified, so you may examine what files are affected, before actually deleting the files.
 The cleanup command should not be used unless a backup was interrupted and has left partial files. Duplicati will inform you if this happens.
 The delete command can be used to remove backup sets when newer backups are present.","Ein <backend> wird durch eine URL wie ftp://host/ oder ssh://server angegeben. So kann Duplicati erkennen, ob Sie sichern oder wiederherstellen wollen. Die Bereinigungs- und Lösch-Befehle löschen Dateien nicht, außer wenn die Option --force angegeben ist. Damit können Sie vor dem eigentlichen Löschen feststellen, welche Dateien betroffen sind. Der Bereinigungs-Befehl sollte nicht verwendet werden, außer wenn eine Sicherung unterbrochen wurde und daher Dateireste hinterlassen wurden. Duplicati informiert Sie in diesem Fall. Der Lösch-Befehl kann verwendet werden, um Backup-Sets zu entfernen, wenn neuere Backups vorhanden sind.
",Translated 2011-05,04/05/2011,Translated in week 18/2011,by E.Mair,,,,1240
CommandLine\Strings\Program.de-DE.resx,ProgramUsageBackup,updated,"Backup (make a full or incremental backup):
  Duplicati.CommandLine [full] [options] <sourcefolder> <backend>",Backup (eine vollständige oder inkrementelle Sicherung): Duplicati.CommandLine [full] [options] <sourcefolder> <backend>,Translated 2011-05,04/05/2011,Translated in week 18/2011,by E.Mair,,,,1241
CommandLine\Strings\Program.de-DE.resx,ProgramUsageCleanup,updated,"Cleanup (remove partial and unused files):
  Duplicati.CommandLine cleanup [options] <backend>","Aufräumen (Entfernen von Dateiresten oder nicht verwendeten Dateien):
  Duplicati.CommandLine cleanup [options] <backend>",Translated 2011-05,04/05/2011,Translated in week 18/2011,by E.Mair,,,,1242
CommandLine\Strings\Program.de-DE.resx,ProgramUsageCreateFolders,updated,"Create folder (usually done automatically):
  Duplicati.CommandLine create-folder [options] <backend>","Ordner anlegen (wird in der Regel automatisch durchgeführt)::
  Duplicati.CommandLine create-folder [options] <backend>",Translated 2011-05,04/05/2011,Translated in week 18/2011,by E.Mair,,,,1243
CommandLine\Strings\Program.de-DE.resx,ProgramUsageDeleteOld,updated,"Delete old backups:
  Duplicati.CommandLine delete-all-but-n-full <number of full backups to keep> [options] <backend>
  Duplicati.CommandLine delete-older-than <max allowed age> [options] <backend>","Alte Backups löschen:
  Duplicati.KommandoZeile delete-all-but-n-full <number of full backups to keep> [options] <backend>
  Duplicati.KommandoZeile delete-older-than <max allowed age> [options] <backend>",Translated 2011-05,05/05/2011,Translated in week 18/2011,by E.Mair,,,,1244
CommandLine\Strings\Program.de-DE.resx,ProgramUsageFilters,updated,"Filters:
 Duplicati uses filters to include and exclude files.
  Duplicati uses a ""first-touch"" filter where the first rule that matches a file determines if the file is included or excluded. Internally Duplicati uses regular expression filters, but supports filters in the form of filename globbing. The order of the commandline arguments also determine what order they are applied in. An example:
    --include=*.txt --exclude=*\Thumbs.db --include=*

  Even though the last filter includes everything, no files named ""Thumbs.db"" are included because they match the exclude rule before the include rule. Paths are evaluated in full, and as paths that are relative to folder being backed up, but including a leading slash. An example:

{0}
  If a folder is excluded, files in that folder are always excluded, even if there are filters that include files in that folder. If a folder is included with a wildcard at the end, all files are included, if the folder is included without a wildcard, files may be excluded or included with extra rules.","Filter: 
Filter Duplicati verwendet Filter, um Dateien ein- und auszuschließen. Duplicati verwendet einen ""First-Touch""-Filter, wo die erste Regel, die auf eine Datei zutrifft, bestimmt, ob die Datei ein- oder ausgeschlossen wird. Intern verwendet Duplicati Filter mit regulären Ausdrücken, unterstützt aber auch normale nicht-reguläre Dateinamen-Filter. Die Reihenfolge der Kommandozeilen-Argumente bestimmt auch, in welcher Reihenfolge sie angewendet werden. Ein Beispiel:
--include=*.txt --exclude=*\Thumbs.db --include=*
Auch wenn der letzte Filter alles beinhaltet, werden keine Dateien mit dem Namen ""Thumbs.db"" enthalten sein, da die Ausschluss-Regel vor der Einschluss-Regel zur Anwendung kommt. Pfade werden in voller Länge ausgewertet und auch als Pfade relativ zum Ordner, der gesichert wird, falls mit führendem Schrägstrich angegeben. Ein Beispiel: {0} 
Wenn ein Ordner ausgeschlossen ist, sind Dateien in diesem Ordner grundsätzlich ausgeschlossen, auch wenn es Filter gibt, die Dateien in diesem Ordner einschließen. Wenn ein Ordner mit einer Wildcard am Ende mit eingeschlossen ist, werden alle Dateien enthalten sein. Wenn der Ordner ohne eine Wildcard eingeschlossen wird, können Dateien mit zusätzlichen Regeln ausgeschlossen oder einbezogen werden.",Translated 2011-05,05/05/2011,Translated in week 18/2011,by E.Mair,,,,1245
CommandLine\Strings\Program.de-DE.resx,ProgramUsageFindLastVersion,updated,"Find the last version of a file:
  Duplicati.CommandLine find-last-version [options] --file-to-restore=<files to find> <backend>","Finde die letzte Version einer Datei:
  Duplicati.KommandoZeile find-last-version [options] --file-to-restore=<files to find> <backend>",Translated 2011-05,05/05/2011,Translated in week 18/2011,by E.Mair,,,,1246
CommandLine\Strings\Program.de-DE.resx,ProgramUsageHeader,updated,"********** Duplicati v. {0} **********

Usage:","********** Duplicati v. {0} **********

Verwendung:",Translated 2011-05,05/05/2011,Translated in week 18/2011,by E.Mair,,,,1247
CommandLine\Strings\Program.de-DE.resx,ProgramUsageListContentFiles,updated,"List content files (files that can be restored):
  Duplicati.CommandLine list-current-files [options] <backend>","Auflistung der beinhalteten Dateien (Dateien, welche wiederhergestellt werden können):
  Duplicati.KommandoZeile list-current-files [options] <backend>",Translated 2011-05,05/05/2011,Translated in week 18/2011,by E.Mair,,,,1248
CommandLine\Strings\Program.de-DE.resx,ProgramUsageListFiles,updated,"List files:
  Duplicati.CommandLine list [options] <backend>","Auflistung von Dateien:
  Duplicati.KommandoZeile list [options] <backend>",Translated 2011-05,05/05/2011,Translated in week 18/2011,by E.Mair,,,,1249
CommandLine\Strings\Program.de-DE.resx,ProgramUsageListSets,updated,"List backup sets:
  Duplicati.CommandLine collection-status [options] <backend>","Auflistung der Backup-Sätze:
  Duplicati.Kommandozeile collection-status [options] <backend>",Translated 2011-05,05/05/2011,Translated in week 18/2011,by E.Mair,,,,1250
CommandLine\Strings\Program.de-DE.resx,ProgramUsageListSignatureFiles,updated,"List signature files (files in a single backup volume set):
  Duplicati.CommandLine list-actual-signature-files [options] <backend>","Liste Signatur-Dateien auf (Dateien in einem einzelnen Backup-Volume):
  Duplicati.CommandLine list-actual-signature-files [options] <backend>",Improved 2011-05,09/05/2011,Translated in week 19/2011,by E.Mair,,,,1251
CommandLine\Strings\Program.de-DE.resx,ProgramUsageListSourceFolders,updated,"List source folders (folders backed up from):
  Duplicati.CommandLine list-source-folders [options] <backend>","Liste Quell-Ordner auf (Ordner, die gesichert werden):
  Duplicati.CommandLine list-source-folders [options] <backend>",Improved 2011-05,09/05/2011,Translated in week 19/2011,by E.Mair,,,,1252
CommandLine\Strings\Program.de-DE.resx,ProgramUsageOptionTypes,updated,"Option types:
 The following option types are available:
  Integer: a numerical value
  Boolean: a truth value, --force and --force=true are equivalent. --force=false is the opposite
  Timespan: a time in the special time format (explained below)
  Size: a size like 5mb or 200kb
  Enumeration: any of the listed values
  Path: the path to a folder or file
  String: any other type","Optionstypen:
Folgende Optionstypen sind verfügbar:
Integer: ein numerischer Wert
Boolean: Wahr oder Falsch, --force und --force=true sind ident, während --force=false das Gegenteil ist
Timespan: eine Zeit in einem bestimmten Zeitformat (Erklärung siehe unten)
Size: eine Datei/Ordner-Größe, z.B. 5MB oder 200kB
Enumeration: eine Aufzählung von Werten
Path: der Pfad zu einem Ordner oder einer Datei
String: jeder andere Typ",Improved 2011-05,09/05/2011,Translated in week 19/2011,by E.Mair,,,,1253
CommandLine\Strings\Program.de-DE.resx,ProgramUsagePurgeCache,updated,"Purge signature cache:
  Duplicati.CommandLine purge-signature-cache [options]","Bereinigung des Signatur-Cache:
  Duplicati.CommandLine purge-signature-cache [options]",Translated 2011-05,09/05/2011,Translated in week 19/2011,by Leo,,,,1254
